,year,runtime,imdb_rating,tmdb_vote_count
year,1.0,,-0.1310526647947619,0.2417847875364977
runtime,,,,
imdb_rating,-0.1310526647947619,,1.0,0.4949788358621451
tmdb_vote_count,0.2417847875364977,,0.4949788358621451,1.0
